section,stick,top_depth,bottom_depth,mid_depth,dD,d17O,d18O,dxs,x_lo,x_hi,y_lo,y_hi,effective_center_x,effective_center_y,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
230_4,r_iso,156.831,156.843,156.837,-279.33,,-35.33,3.31,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.916940309857,156.928940309857,156.922940309857
230_4,r_iso,156.843,156.855,156.849,-283.17,,-35.74,2.76,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.928940309857,156.940940309857,156.934940309857
230_4,r_iso,156.855,156.867,156.861,-286.96,,-36.11,1.89,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.940940309857,156.952940309857,156.946940309857
230_4,r_iso,156.867,156.883,156.875,-289.0,,-36.38,2.05,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.952940309857,156.96894030985703,156.96094030985702
230_4,r_iso,156.883,156.895,156.889,-287.19,,-36.15,2.01,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.96894030985703,156.98094030985703,156.97494030985703
230_4,r_iso,156.895,156.907,156.901,-286.13,,-36.01,1.98,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.98094030985703,156.99294030985703,156.98694030985703
230_4,r_iso,156.907,156.919,156.913,-288.44,,-36.32,2.1,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.99294030985703,157.00494030985703,156.99894030985703
230_4,r_iso,156.919,156.931,156.925,-292.04,,-36.65,1.19,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.00494030985703,157.01694030985703,157.01094030985703
230_4,r_iso,156.931,156.943,156.937,-294.21,,-36.89,0.92,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.01694030985703,157.02894030985703,157.02294030985703
230_4,r_iso,156.943,156.955,156.949,-294.51,,-36.93,0.91,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.02894030985703,157.04094030985704,157.03494030985703
230_4,r_iso,156.955,156.967,156.961,-293.62,,-36.85,1.18,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.04094030985704,157.05294030985704,157.04694030985704
230_4,r_iso,156.967,156.979,156.973,-292.24,,-36.69,1.3,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.05294030985704,157.06494030985704,157.05894030985704
230_4,r_iso,156.979,156.991,156.985,-291.66,,-36.65,1.55,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.06494030985704,157.07694030985704,157.07094030985704
230_4,r_iso,156.991,157.003,156.997,-290.97,,-36.59,1.76,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.07694030985704,157.088940309857,157.08294030985704
230_4,r_iso,157.003,157.015,157.009,-290.98,,-36.57,1.58,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.088940309857,157.100940309857,157.094940309857
230_4,r_iso,157.015,157.033,157.024,-290.75,,-36.49,1.2,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,157.100940309857,157.118940309857,157.10994030985702
